word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender
rear (raise),4,3.849,5.576,4.818,3.344,3.438,4.273,5.118,4.219,3.419
record (information),6,3.600,5.235,5.229,4.914,4.088,5.939,4.771,3.912,4.743
record (to register),6,3.516,5.387,5.258,4.000,3.467,5.516,4.727,3.563,4.063
remote (controller),6,3.667,5.412,6.697,6.455,6.400,6.161,3.571,3.088,4.912
remote (distant),6,3.455,3.364,3.625,3.091,4.677,4.906,5.294,4.161,4.147
right (correct),5,5.765,7.882,7.088,3.057,3.353,6.515,2.059,5.029,3.500
right (left),5,3.371,5.375,5.559,4.457,4.412,6.441,2.514,3.471,4.182
right (legal claim),5,3.971,6.412,6.382,3.571,2.677,5.424,5.600,4.886,4.588
ring (jewellery),4,6.091,6.886,5.771,6.943,6.677,6.486,2.943,2.118,2.000
ring (sound),4,5.424,5.606,4.909,5.394,4.576,5.879,2.500,3.412,3.727
ring (surround),4,3.529,4.879,4.265,3.941,4.576,4.406,3.818,3.939,4.029
rocket (go quickly),6,6.371,6.057,6.657,3.886,5.057,4.353,4.000,4.886,5.000
rocket (leaves),6,3.625,5.618,5.853,6.171,6.171,5.353,5.743,2.606,3.765
rocket (projectile),6,5.909,4.971,5.219,5.867,6.273,5.094,4.000,5.088,5.515
roll (bread),4,3.657,5.886,5.226,6.294,6.636,6.219,2.486,2.147,3.794
roll (turn over),4,4.364,5.147,5.033,4.606,5.344,5.875,2.485,3.344,4.121
ruler (leader),5,5.743,5.029,5.727,5.818,5.879,5.333,4.143,5.727,5.529
ruler (measure),5,2.765,4.971,5.143,6.314,6.514,5.618,2.714,2.914,4.500
run (race),3,6.344,6.091,6.515,5.121,5.697,5.909,2.121,4.788,4.818
run (series),3,3.882,5.344,5.088,3.794,3.265,4.200,4.412,4.000,4.206
run (stockings),3,4.125,4.677,4.656,4.781,4.500,3.636,4.936,3.059,2.677
run (test),3,3.853,4.750,4.781,4.121,3.727,4.242,4.618,3.903,4.500
sage (herb),4,3.647,5.441,5.576,6.500,5.853,4.594,5.706,2.177,2.882
sage (wise man),4,4.625,6.914,6.030,4.618,5.086,2.697,5.970,4.143,6.029
scale (fish),5,3.121,4.794,5.206,6.118,6.118,5.032,3.765,1.606,4.206
scale (magnitude),5,4.500,5.303,5.029,3.486,3.429,5.382,5.265,4.771,4.394
scale (musical),5,5.118,6.529,5.647,4.394,4.588,5.265,4.706,3.471,3.235
scale (weighing),5,3.588,5.029,4.688,6.086,6.212,5.324,3.618,3.706,2.941
screw (builder),5,3.576,5.088,5.563,5.818,5.500,4.242,4.147,2.250,5.788
screw (sex),5,7.273,5.758,5.250,4.424,5.515,5.273,6.394,4.455,5.424
seal (animal),4,4.257,5.943,5.265,6.588,6.829,5.382,3.057,4.147,3.618
seal (close),4,3.406,5.343,5.625,4.939,4.515,4.824,4.029,3.500,4.061
season (add spice),6,5.057,6.324,6.206,4.914,5.364,5.706,5.429,2.588,3.543
season (period of time),6,4.758,6.441,4.441,4.375,5.333,6.063,3.029,5.706,3.242
second (position),6,4.152,5.412,5.000,4.606,4.344,5.875,2.686,3.606,4.029
second (unit of time),6,3.250,5.086,4.314,4.743,3.571,6.265,2.971,2.286,4.029
select (choose),6,4.941,5.971,6.875,3.429,3.324,5.515,3.686,4.406,3.618
select (elite),6,4.939,4.968,5.375,2.788,3.303,4.355,5.546,3.441,4.118
sense (common),5,4.125,7.156,6.250,2.303,2.375,6.097,4.212,4.968,3.273
sense (feel),5,6.229,6.371,5.914,2.576,2.879,5.829,4.353,4.400,2.971
sentence (phrase),8,3.371,5.265,5.229,4.559,4.029,6.059,3.000,3.147,3.824
sentence (prison),8,5.121,2.429,2.455,4.032,3.879,4.455,5.000,5.706,5.206
serve (perform duties),5,4.273,4.939,3.364,3.758,3.758,4.938,4.333,3.939,4.152
serve (tennis),5,4.029,5.324,6.114,4.912,5.471,4.657,5.152,3.647,4.765
set (determined),3,4.875,6.909,6.818,3.182,2.375,4.906,4.606,4.781,4.281
set (group),3,3.647,5.212,4.849,4.469,4.853,5.118,4.273,3.969,3.853
set (solidify),3,3.879,5.455,5.424,5.091,4.226,4.576,4.286,3.849,4.882
sex (gender),3,6.147,5.588,4.657,3.943,4.800,6.257,4.771,5.000,3.943
sex (intercourse),3,7.485,7.485,6.323,6.242,6.313,6.667,5.273,5.061,4.063
shade (out of the sun),5,3.750,5.688,4.969,5.656,5.970,6.188,3.065,4.387,3.394
shade (tint),5,3.343,5.114,5.371,4.088,4.500,4.618,4.257,3.000,3.059
sharp (blade),5,5.371,3.343,4.971,5.314,5.457,5.714,2.857,3.882,5.200
sharp (smart),5,5.515,7.364,7.303,3.455,3.697,5.344,4.455,4.242,4.455
sheer (thin),5,4.121,4.750,4.091,3.807,4.688,4.531,5.121,2.188,2.879
sheer (utter),5,4.355,4.567,4.767,2.833,2.621,4.765,5.645,4.581,4.065
shell (military),5,5.147,3.559,5.636,5.914,5.765,3.781,5.457,4.333,5.939
shell (sea),5,4.375,5.970,5.152,6.667,6.484,5.548,2.394,1.844,2.849
ship (boat),4,3.970,5.600,4.912,6.618,6.735,5.765,2.457,5.743,5.000
ship (transport),4,3.969,5.353,5.177,6.457,6.000,5.824,3.029,5.182,4.818
shoot (film),5,5.094,5.879,5.419,5.063,5.394,5.387,4.936,4.548,4.333
shoot (gun),5,6.029,2.382,6.088,5.794,6.242,5.424,3.171,4.242,5.829
shoot (plant),5,3.546,6.219,5.000,6.294,6.088,4.333,4.529,2.735,3.697
shot (gun),4,5.571,2.647,4.171,5.909,5.576,5.219,4.000,3.758,5.412
shot (injection),4,5.118,3.886,4.486,5.771,6.143,4.500,4.143,2.857,4.618
sick (disgusting),4,4.200,2.324,4.706,3.471,3.647,5.529,3.800,4.029,4.647
sick (ill),4,4.333,2.118,2.971,4.029,5.303,6.471,2.235,4.618,3.941
sink (dishes),4,2.588,4.206,4.781,6.500,6.588,6.441,2.364,2.853,3.313
sink (go down),4,3.412,2.824,3.818,4.206,4.800,4.829,3.588,3.455,4.429
sketch (drawing),6,4.750,5.735,5.629,5.471,6.143,5.441,3.943,3.424,3.429
sketch (play),6,4.818,5.875,5.394,4.667,5.355,4.419,4.515,4.364,3.909
skirt (clothes),5,5.371,5.765,5.486,6.529,6.543,6.177,2.600,2.588,1.294
skirt (go around),5,4.500,4.853,5.029,3.706,3.515,3.647,5.559,3.500,3.147
slight (little),6,3.057,4.882,4.400,3.618,3.636,5.455,4.441,2.290,3.324
slight (offend),6,4.394,3.229,4.706,3.057,2.743,3.353,5.657,4.057,4.286
slip (mistake),4,4.333,3.000,3.394,3.758,3.455,4.906,3.879,4.000,3.969
slip (notepaper),4,3.382,5.171,4.886,6.324,5.771,4.500,4.029,2.143,3.412
slip (slide),4,4.941,3.912,4.000,4.371,4.829,5.515,2.686,3.394,3.606
slug (hit),4,4.303,3.152,4.909,4.406,4.563,3.563,5.469,3.938,5.625
slug (insect),4,2.471,3.849,5.875,6.727,6.656,5.394,2.485,1.697,4.971
smart (intelligent),5,6.324,7.909,6.559,3.200,3.941,6.576,3.057,5.118,3.667
smart (well-dressed),5,5.400,7.171,6.857,4.265,5.457,6.147,3.912,4.200,5.457
sock (clothes),4,3.424,5.485,5.906,6.656,6.849,6.807,1.970,2.121,4.182
sock (hit),4,4.412,3.382,5.281,4.258,4.706,3.697,4.849,3.455,5.387
soil (earth),4,3.606,5.333,5.382,6.286,6.177,5.765,2.829,4.286,4.273
soil (mess up),4,3.314,2.629,3.686,3.353,3.829,4.206,5.029,4.000,4.743
sole (fish),4,2.906,5.000,4.788,6.118,5.500,3.613,5.618,2.559,3.906
sole (only),4,3.412,4.412,5.333,3.412,3.618,4.382,4.941,2.909,3.882
sole (shoe),4,2.516,5.000,5.063,6.250,6.455,5.546,3.563,2.813,4.094
solution (answer),8,5.152,7.303,6.758,3.182,3.471,6.226,4.424,5.125,4.257
solution (chemical),8,3.882,5.088,4.882,5.735,5.000,4.794,6.029,3.667,4.677
space (galaxies),5,6.765,6.500,3.912,4.941,5.853,6.029,3.382,6.471,5.059
space (room),5,4.343,5.824,5.171,4.529,5.143,5.941,2.829,4.800,3.912
spade (cards),5,3.969,5.382,5.364,6.206,6.353,4.758,3.424,2.114,4.794
spade (shovel),5,3.242,4.758,5.324,6.529,6.324,5.455,2.886,3.030,4.938
speaker (amplifier),7,5.086,5.714,5.743,6.314,6.303,5.657,4.286,5.029,4.829
speaker (orator),7,4.818,5.912,6.091,5.156,4.727,5.094,4.794,4.576,4.625
spell (alphabet),5,3.941,5.588,5.657,4.429,3.857,5.800,2.286,3.543,3.971
spell (magical),5,6.657,6.829,5.457,2.429,4.229,5.029,2.400,4.500,2.886
spell (time period),5,3.636,4.879,5.000,2.758,2.219,5.030,4.758,3.939,3.515
spirit (drink),6,5.971,5.394,5.118,6.235,6.114,6.000,5.857,3.118,3.971
spirit (ghost),6,5.636,4.088,4.118,2.912,4.765,5.242,4.235,4.235,3.788
spirit (intention),6,5.629,6.824,6.714,2.171,2.943,5.147,4.857,5.171,3.324
spirit (soul),6,5.647,7.029,5.853,1.706,3.147,5.353,4.588,4.941,2.909
spot (pimple),4,2.912,2.735,3.882,6.546,6.364,6.030,4.382,2.333,4.000
spot (stain),4,3.219,3.844,4.581,5.906,6.125,5.625,3.097,2.000,3.879
spread (food),6,4.177,5.941,5.206,5.735,6.088,5.382,3.500,3.182,3.647
spread (open),6,5.000,5.735,5.200,3.971,4.371,5.177,4.485,4.576,3.571
spring (coil),6,4.500,5.294,4.971,6.273,6.469,5.059,4.057,2.849,4.333
spring (jump),6,5.576,6.143,5.429,4.743,5.286,4.849,3.600,4.147,3.714
spring (season),6,7.294,7.114,5.343,5.314,6.235,6.229,2.400,5.324,2.559
squash (crush),6,5.029,3.441,4.800,4.529,4.629,4.849,3.147,4.121,5.147
squash (sport),6,4.394,5.250,5.531,5.710,6.063,4.313,5.606,3.294,4.618
squash (vegetable),6,2.727,5.177,5.029,6.735,6.200,4.371,4.600,2.971,3.912
squat (crouch),5,4.485,4.677,4.636,5.061,5.606,4.844,4.333,2.688,4.031
squat (short),5,3.353,4.364,4.588,4.265,4.849,4.061,5.265,2.455,4.281
staff (stick),5,3.735,5.114,6.030,6.229,5.912,3.943,4.455,3.371,5.273
staff (workforce),5,3.879,5.242,4.647,5.618,5.294,5.471,4.714,4.677,4.324
stake (investment),5,3.697,5.059,4.943,3.912,2.818,3.697,6.059,5.091,5.353
stake (wooden),5,3.875,4.063,5.387,6.419,6.387,4.250,4.767,3.567,4.938
stall (hesitate),5,3.970,3.771,3.818,3.121,3.353,4.781,4.857,3.515,3.727
stall (kiosk),5,3.484,5.188,4.968,5.879,5.882,5.129,4.382,3.636,4.235
staple (mainstay),6,3.100,5.300,4.936,4.037,3.357,3.559,5.500,3.857,3.933
staple (stationery),6,2.706,4.943,5.114,6.571,6.514,6.000,3.886,2.086,4.394
star (celebrity),4,5.697,5.576,5.485,4.667,5.667,5.844,3.758,4.849,2.606
star (sky),4,5.600,7.235,5.086,6.000,6.743,6.333,2.229,4.429,2.914
steer (cows),5,3.172,5.333,5.407,5.138,5.214,2.546,5.607,4.035,4.857
steer (direct),5,4.094,5.563,6.645,3.909,3.576,5.688,4.097,3.967,5.000
stem (origin),4,3.844,5.735,4.710,3.613,2.531,3.849,5.629,4.118,3.941
stem (plant),4,3.000,5.273,5.294,6.091,6.152,4.971,4.000,3.063,3.394
stern (attitude),5,4.938,3.394,5.531,3.000,3.697,5.242,5.000,4.000,4.771
stern (ship),5,3.546,5.000,5.182,6.147,5.912,3.265,5.394,5.000,5.382
stick (glue),5,3.400,5.059,5.029,6.029,5.912,5.441,2.500,2.667,4.147
stick (thin piece of wood),5,2.970,4.914,4.686,6.371,6.400,5.618,1.886,2.324,4.457
stir (cook),4,4.121,5.758,5.438,5.333,5.515,5.909,3.343,2.939,2.912
stir (make trouble),4,5.000,2.457,6.333,3.429,3.400,5.121,4.765,4.706,3.771
stir (move),4,4.743,5.200,6.314,4.265,5.371,5.824,3.889,3.324,3.722
stock (finance),5,3.206,4.735,4.156,4.121,4.030,5.030,6.000,4.909,5.364
stock (inventory),5,3.294,5.177,5.588,5.147,4.588,4.313,5.657,4.735,4.818
stock (soup),5,3.606,5.969,5.581,6.235,6.226,5.563,4.559,2.313,3.576
stone (rock),5,2.857,4.853,5.629,6.514,6.514,6.343,1.971,2.914,5.143
stone (weight),5,4.030,4.212,5.156,5.818,3.667,5.813,4.606,4.455,4.412
stool (chair),5,2.939,5.000,4.912,6.677,6.147,5.688,2.743,2.943,4.471
stool (faeces),5,2.400,2.800,4.265,6.118,5.912,4.143,5.677,2.829,5.029
store (put away for future),5,3.206,5.971,5.697,4.667,3.750,5.606,3.794,3.943,3.941
store (shop),5,4.303,5.394,4.971,6.324,6.059,5.382,3.235,4.364,3.500
straw (drinking),5,3.886,5.500,4.971,6.657,6.629,6.057,2.571,1.706,3.571
straw (hay),5,2.943,5.147,5.182,5.941,6.229,5.091,2.971,2.618,4.088
strike (hit),6,5.265,2.829,5.882,5.088,5.706,4.546,4.500,4.514,5.794
strike (picket),6,4.677,4.375,5.697,4.849,4.515,4.059,5.455,4.235,4.559
strip (naked),5,7.029,5.429,5.686,5.143,6.235,5.857,5.086,4.171,3.714
strip (narrow piece),5,3.500,4.912,4.529,5.353,4.758,4.667,3.824,2.281,4.235
strip (street),5,4.118,4.824,4.849,5.546,4.606,3.588,5.242,4.400,4.273
stroke (brain),6,5.529,2.000,2.636,5.750,4.147,4.903,5.686,5.706,4.182
stroke (pet),6,5.194,6.794,6.088,4.938,5.758,5.871,2.152,3.125,2.970
suit (legal),4,3.968,3.710,4.800,4.667,3.839,4.452,5.813,4.733,4.742
suit (playing cards),4,3.882,5.441,5.212,5.853,6.121,4.857,4.500,2.515,4.941
suit (special clothes),4,5.219,6.618,6.515,6.531,6.500,5.452,3.743,4.061,6.121
suit (to be fit for),4,4.281,6.364,5.656,3.121,3.727,5.677,4.735,3.625,4.629
surf (breaking waves),4,5.400,6.314,5.743,6.235,6.382,5.000,4.629,4.971,5.086
surf (riding waves),4,5.939,6.735,5.688,5.576,6.121,5.235,4.029,4.813,4.970
sweet (nice),5,5.667,7.971,5.559,3.029,4.059,6.576,2.765,3.824,1.912
sweet (sugar),5,5.794,6.912,4.914,4.794,5.177,6.441,2.029,3.486,2.514
swift (bird),5,4.500,5.735,5.697,5.939,5.188,4.281,4.688,2.543,2.882
swift (quick),5,5.581,6.258,5.774,3.273,3.625,5.355,4.485,3.067,3.438
table (chart),5,2.943,4.971,5.229,5.686,6.086,5.912,4.143,3.500,4.743
table (desk),5,3.171,5.200,5.206,6.743,6.647,6.571,2.057,3.943,4.457
tango (dance),5,6.500,6.559,6.515,5.343,6.121,3.970,4.941,3.829,2.765
tango (drink),5,4.500,5.813,5.636,6.353,6.353,5.424,4.000,2.765,3.970
tank (army),4,4.250,3.355,4.406,6.788,6.419,5.625,3.212,5.645,6.375
tank (fish),4,3.471,5.371,5.171,6.758,6.794,5.529,3.057,3.257,4.371
tank (storage),4,3.265,5.412,5.121,6.029,5.303,4.906,4.229,4.849,5.303
temple (forehead),6,3.941,5.235,5.516,6.182,6.559,4.818,4.771,3.177,3.794
temple (worship),6,4.455,5.697,4.424,6.188,6.353,4.969,4.529,5.313,4.118
tender (sensitive),6,5.286,5.879,4.429,2.914,3.265,5.333,4.441,3.294,2.324
tender (soft),6,6.257,7.086,5.324,3.265,3.886,5.771,4.429,3.618,1.941
tense (strained),5,5.147,2.971,3.970,3.515,4.129,5.500,5.061,4.303,4.546
tense (verb),5,3.515,4.303,4.727,3.088,2.969,4.939,4.706,3.344,4.500
text (phone message),4,5.514,6.114,5.914,5.886,6.229,6.743,5.314,2.829,3.457
text (written work),4,3.606,5.546,5.485,5.879,5.970,6.091,3.970,3.849,3.939
ticket (admission),6,4.758,6.029,5.344,6.371,6.343,5.914,3.429,2.697,4.206
ticket (parking),6,3.722,3.029,3.943,6.500,6.294,6.061,4.600,2.943,4.889
tie (bind),3,5.000,4.677,4.529,5.324,5.571,5.219,3.057,3.118,4.853
tie (neck),3,3.853,5.265,5.147,6.727,6.606,6.344,3.265,2.394,6.182
tie (stalemate),3,3.807,4.829,5.294,3.943,4.152,4.686,3.906,3.438,4.324
titanic (ship),7,4.969,3.000,4.677,6.438,6.344,5.719,4.563,6.000,4.032
titanic (size),7,5.265,5.294,5.382,4.242,4.794,3.667,4.853,6.618,5.061
toast (bread),5,3.909,6.118,5.471,6.706,6.647,6.636,2.000,2.606,4.206
toast (speech),5,4.743,6.559,5.647,4.546,4.771,4.765,5.147,4.303,5.029
tone (colour),4,4.364,5.667,5.000,3.788,4.303,5.094,4.515,3.188,3.212
tone (music),4,5.412,6.394,5.424,4.030,3.156,5.313,4.559,3.939,3.235
tone (voice),4,5.471,5.629,5.844,3.314,3.606,5.455,4.286,4.212,3.939
top (apex),3,4.516,6.531,6.406,4.833,4.742,4.971,3.125,4.344,4.156
top (shirt),3,4.324,5.629,6.030,6.471,6.636,6.500,2.294,3.000,4.235
top (spinning),3,3.970,5.424,5.412,5.514,5.242,4.485,3.143,2.471,3.941
torch (burn),5,5.438,4.152,5.226,5.121,5.688,4.933,4.424,3.903,4.636
torch (flashlight),5,4.294,5.912,5.824,6.824,6.714,6.143,3.029,3.086,4.514
trace (copy),5,3.059,4.853,5.235,4.861,4.677,4.941,3.639,2.972,3.611
trace (small amount),5,3.636,4.688,4.594,4.000,3.813,5.200,5.061,1.546,3.406
traction (grip),8,4.294,5.371,5.938,4.382,4.152,3.000,5.914,3.667,5.118
traction (medical),8,3.240,4.708,4.462,5.046,4.130,2.063,6.739,3.864,4.480
train (bridal),5,4.455,6.152,5.063,5.970,6.091,3.727,5.485,3.970,2.000
train (practice),5,5.235,6.647,6.125,4.314,4.758,5.677,4.088,4.429,5.382
train (procession),5,3.735,5.219,4.971,4.500,5.118,4.559,4.286,4.514,4.152
train (vehicle),5,3.743,5.286,5.091,6.588,6.629,6.294,2.600,5.600,5.229
trainer (coach),7,4.727,5.735,4.257,6.091,6.000,5.364,4.600,4.486,5.371
trainer (shoe),7,3.727,5.879,5.588,6.394,6.455,6.182,2.941,2.824,4.706
treble (music),6,5.324,5.879,5.697,4.455,4.375,4.032,5.303,3.469,3.906
treble (triple),6,4.152,5.406,5.546,3.943,3.571,4.800,4.943,4.314,4.171
trial (courtroom),5,5.029,3.794,3.212,5.829,6.353,5.030,5.206,5.559,4.853
trial (test),5,3.912,4.121,3.765,4.429,3.706,5.152,4.571,3.914,4.147
trunk (elephant),5,4.143,5.882,5.457,6.600,6.657,5.529,2.200,4.543,4.714
trunk (luggage),5,3.118,5.177,5.303,6.353,6.324,4.500,4.364,3.938,4.265
trunk (tree/body),5,4.059,5.441,5.152,6.429,6.571,4.941,2.706,5.088,4.941
tweet (bird),5,4.853,6.353,5.382,4.941,4.727,5.394,2.486,2.206,3.059
tweet (Twitter),5,4.091,5.171,5.800,4.400,5.147,5.912,6.829,2.853,3.829
type (category),4,3.343,5.029,5.030,3.286,2.588,5.257,3.571,4.303,4.118
type (typeface),4,2.750,5.281,5.033,4.548,4.194,4.882,4.800,2.800,4.219
unit (item),4,3.000,5.030,5.000,5.031,4.242,4.710,4.484,2.774,4.250
unit (measure),4,2.941,4.971,4.914,4.882,4.088,5.118,4.743,2.229,4.424
upset (sad),5,4.656,1.939,3.212,2.969,5.546,6.355,2.182,4.212,3.091
upset (unbalance),5,4.500,2.412,3.824,2.647,3.697,5.667,3.471,4.030,3.909
upset (unlikely victory),5,5.375,3.909,4.375,2.906,3.710,3.824,4.515,4.485,4.250
verse (poetry),5,4.813,6.281,5.194,5.129,5.030,5.969,4.531,3.484,3.273
verse (stanza),5,3.429,5.457,5.147,4.441,4.265,4.647,5.343,3.400,3.412
vet (investigate),3,3.933,4.788,5.750,3.594,2.938,3.353,5.406,4.121,4.281
vet (veteran),3,4.229,5.514,5.086,6.029,5.800,4.686,4.743,4.265,5.086
vet (veterinarian),3,4.200,6.200,5.286,6.143,5.971,5.229,3.229,4.800,3.429
vision (dream),6,6.625,6.906,5.400,2.656,4.438,5.531,4.807,5.355,3.194
vision (sight),6,5.294,6.971,6.235,4.529,4.257,5.406,3.912,4.382,3.714
volume (amount),6,3.667,5.333,5.030,4.424,3.094,5.710,4.546,4.970,4.438
volume (loudness),6,6.029,5.029,6.229,4.286,3.600,6.286,3.457,5.429,4.657
wake (awake),4,5.559,5.971,5.941,4.912,4.629,6.303,2.429,4.177,3.943
wake (funeral),4,2.485,2.000,3.871,5.313,5.323,4.581,5.531,4.355,4.032
wake (ship),4,3.767,5.303,5.313,5.800,5.200,3.057,5.844,4.909,4.882
ward (child),4,3.931,5.462,5.033,5.040,4.552,3.394,5.731,3.500,3.429
ward (hospital),4,3.471,4.206,3.147,6.382,6.438,5.394,4.206,5.000,3.424
warrant (justify),7,4.152,5.829,5.343,2.824,2.743,3.750,6.200,4.735,4.618
warrant (search),7,4.912,3.059,3.686,4.714,5.171,4.618,6.056,4.529,5.556
watch (look),5,4.486,5.118,5.286,4.147,4.147,6.455,2.200,3.529,3.794
watch (wrist),5,3.758,5.529,5.824,6.677,6.677,6.242,2.971,2.471,4.794
wave (gesture),4,4.818,6.455,6.200,5.429,6.265,6.294,2.059,3.088,3.485
wave (water),4,5.471,6.086,4.971,5.543,6.543,6.394,2.571,5.371,3.429
web (internet),3,5.912,6.429,5.818,5.200,5.257,6.606,4.941,5.500,4.686
web (spider),3,3.588,4.515,4.324,6.647,6.559,6.000,2.088,2.500,4.265
well (healthy),4,5.114,8.514,6.294,3.714,4.771,6.618,2.861,4.943,3.500
well (water),4,3.758,6.645,5.094,6.242,6.156,5.500,3.121,4.030,3.938
wind (breeze),4,4.829,5.265,5.000,4.914,4.914,6.371,2.343,4.314,3.600
wind (wrap around),4,3.765,5.294,5.563,4.677,4.314,5.059,3.914,3.382,3.697
wing (building),4,3.697,4.970,4.765,6.118,6.235,5.000,5.265,5.344,4.559
wing (improvise),4,5.824,5.706,5.813,2.618,3.226,4.188,5.686,4.235,4.529
wing (plane),4,4.313,5.182,4.636,6.636,6.594,5.813,3.118,5.097,4.273
wired (electric),5,5.200,5.242,4.657,4.943,4.677,5.000,4.543,3.382,4.909
wired (hyper),5,6.057,4.829,5.576,3.059,4.143,4.333,5.829,4.629,4.235
wood (forest),4,4.594,5.629,5.206,6.559,6.457,5.853,2.571,5.706,4.618
wood (lumber),4,3.265,5.143,5.314,6.647,6.429,5.829,2.914,4.057,5.486
wound (cut),5,5.206,2.857,3.743,6.086,6.371,5.912,3.529,3.314,4.543
wound (wrap around),5,4.152,4.441,4.265,4.531,4.853,5.029,4.606,3.656,3.697
yak (animal),3,3.742,5.448,5.214,6.483,5.767,3.059,4.903,3.379,4.500
yak (gab),3,3.704,4.267,5.407,3.741,3.308,3.029,5.107,3.154,3.192
yard (distance),4,3.371,5.029,4.571,5.171,4.559,4.486,4.943,3.559,4.771
yard (lawn),4,3.314,5.457,5.114,6.371,6.200,4.086,3.486,4.500,4.429
yarn (fabric),4,2.771,5.000,4.971,6.114,5.629,3.257,4.800,2.543,2.857
yarn (tale),4,4.091,5.529,4.818,3.294,2.559,2.879,5.485,3.824,3.636
