word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender
landing (plane),7,4.546,5.879,5.030,5.471,5.971,5.559,3.441,4.765,4.688
landing (stairs),7,3.294,5.147,5.156,6.343,6.229,4.677,3.500,3.914,3.912
lark (bird),4,3.800,6.438,5.258,6.548,5.621,4.406,4.871,2.533,2.900
lark (fun),4,5.938,7.313,6.344,3.469,4.375,2.727,5.375,4.250,4.063
lead (direct),4,4.941,5.706,6.457,3.600,4.382,5.543,4.000,4.943,4.771
lead (heavy metal),4,3.200,4.371,5.114,6.543,5.457,4.629,4.743,4.457,5.400
lead (leash),4,4.091,4.758,4.606,6.061,6.182,5.606,3.000,3.030,4.546
lean (skinny),4,4.758,5.212,4.424,4.455,5.281,4.758,5.000,2.406,3.091
lean (tilt),4,3.647,4.735,4.912,4.455,5.242,5.471,3.382,3.594,3.727
leg (component),3,3.438,5.645,5.594,6.000,5.387,5.467,3.636,3.387,4.065
leg (limb),3,4.371,5.559,5.657,6.882,6.800,6.500,1.794,3.686,4.059
legend (key),6,3.482,5.379,4.852,4.926,4.704,3.781,5.857,3.357,4.179
legend (tale),6,6.086,6.943,5.829,3.382,4.441,5.057,3.829,5.529,4.886
letter (alphabet),6,2.576,5.485,5.515,5.212,5.909,6.313,2.000,2.364,4.061
letter (correspondence),6,4.500,5.618,5.800,6.057,5.882,5.943,3.114,2.853,3.600
letters (alphabet),7,3.515,5.303,5.441,5.688,6.156,5.971,2.212,3.229,3.939
letters (correspondence),7,4.057,5.576,5.424,5.515,6.147,5.294,3.147,3.057,3.727
lie (position),3,3.857,5.543,4.800,4.914,5.457,6.031,2.486,3.229,3.677
lie (untruth),3,4.647,2.059,4.382,3.382,2.824,6.412,2.088,4.677,4.576
lies (position),4,3.941,4.886,4.758,4.629,5.515,5.647,2.971,3.677,4.000
lies (untruths),4,4.936,1.788,4.088,3.029,3.029,6.147,2.714,4.677,4.333
lift (elevator),4,3.531,5.313,4.875,6.688,6.645,6.414,2.758,3.800,4.576
lift (raise),4,4.143,6.000,6.294,4.829,5.265,5.853,2.543,4.086,4.647
light (brightness),5,6.294,7.457,5.546,5.303,6.161,6.516,2.765,5.735,2.971
light (weight),5,3.677,5.647,4.500,4.086,4.000,5.906,3.000,2.235,2.971
like (love),4,6.735,7.706,5.500,2.941,3.824,6.758,2.206,5.559,2.667
like (similar to),4,3.382,5.559,5.121,2.727,2.636,6.235,2.588,3.273,3.382
limb (body),4,3.824,5.343,5.914,6.714,6.441,5.294,4.143,3.914,4.286
limb (tree),4,3.303,5.455,5.061,6.265,6.061,3.629,4.219,4.121,4.031
litter (animal babies),6,4.758,7.125,4.936,6.500,6.161,5.188,4.091,2.688,2.636
litter (trash),6,3.029,3.147,5.588,6.576,6.471,5.941,2.886,3.229,4.343
live (not recorded),4,6.250,6.500,5.606,4.531,4.563,6.313,4.406,5.063,4.121
live (to exist),4,6.758,7.914,7.118,4.091,4.353,6.206,2.629,5.758,3.800
loaf (be lazy),4,2.818,3.281,4.879,3.333,4.030,3.242,5.594,3.125,5.030
loaf (bread),4,3.086,5.686,5.118,6.844,6.939,6.333,3.000,2.424,3.941
lock (door),4,4.314,4.882,5.242,6.206,6.171,6.065,2.971,2.618,4.529
lock (hair),4,4.177,5.469,5.382,5.742,6.194,4.688,4.471,2.382,2.813
log (record),3,3.118,5.088,5.273,4.971,4.588,4.606,5.324,3.939,4.303
log (wood),3,3.364,5.314,5.645,6.382,6.455,5.212,2.971,4.194,5.469
logs (records),4,2.500,5.121,5.177,5.471,5.029,3.781,5.657,3.546,4.457
logs (wood),4,3.424,5.735,5.618,6.750,6.529,5.313,3.324,3.912,5.324
long (not short),4,4.206,5.206,5.294,4.235,5.029,6.394,2.118,4.853,4.382
long (yearn),4,5.273,4.441,3.906,2.429,3.294,4.353,4.882,5.029,3.206
lumber (move slowly),6,2.441,3.382,3.515,4.091,4.912,4.088,5.727,3.849,4.882
lumber (wood),6,3.657,5.229,5.606,6.314,6.029,3.788,5.182,4.794,5.824
mad (angry),3,6.571,2.200,5.765,3.647,5.000,6.000,2.743,5.029,5.229
mad (crazy),3,6.029,3.000,4.273,2.906,4.529,6.000,3.229,4.706,4.118
magazine (ammunition),8,4.486,3.735,5.706,6.057,5.286,3.735,5.943,3.939,5.200
magazine (publication),8,4.735,5.677,5.353,6.441,6.294,6.152,3.455,3.735,3.177
mark (grade),4,5.143,5.941,5.400,5.029,5.029,6.242,4.086,4.667,4.029
mark (smudge),4,3.152,4.059,4.939,5.882,6.029,5.441,3.206,2.235,4.500
mask (cover),4,4.879,3.875,4.613,5.032,5.258,4.939,3.485,3.727,4.242
mask (face),4,4.206,4.618,4.879,5.941,5.794,5.394,2.849,3.212,3.909
mass (large number),4,4.375,5.424,5.364,4.182,4.061,5.875,4.882,6.394,4.735
mass (religious),4,2.765,4.471,3.343,4.000,4.559,4.029,4.686,5.088,3.971
mass (weight),4,4.353,4.735,5.324,4.636,3.765,5.618,5.529,5.412,4.588
match (fire),5,5.647,4.971,5.714,6.514,6.529,5.594,3.543,2.677,4.912
match (game),5,5.219,6.029,5.156,5.471,5.194,6.091,3.382,4.781,5.364
match (pairing),5,4.469,6.029,5.118,4.091,4.364,5.636,3.030,3.469,3.600
mate (copulate),4,7.129,6.559,6.152,5.364,5.406,4.677,5.485,4.794,4.735
mate (friend),4,6.147,7.706,6.235,5.727,5.909,6.226,3.588,4.546,5.471
mean (average),4,3.000,5.029,4.546,4.294,2.943,4.857,5.257,4.029,4.000
mean (intend),4,4.229,4.143,6.143,2.806,2.559,6.265,3.371,4.389,4.194
mean (nasty),4,5.455,1.625,4.727,2.909,3.879,6.094,2.364,4.576,4.606
mean (stingy),4,4.061,2.094,3.818,2.970,3.750,5.235,3.727,3.531,5.061
medium (intermediate),6,3.727,5.029,5.121,3.219,2.788,5.344,3.529,3.912,3.912
medium (spiritualist),6,4.333,4.909,4.406,3.818,4.515,3.849,6.029,3.613,3.000
might (possibly),5,4.229,4.971,4.714,2.118,2.182,6.333,2.914,3.400,3.853
might (strength),5,6.188,7.206,7.375,4.000,4.455,4.794,4.765,5.813,6.061
mint (food),4,4.500,5.657,5.706,6.486,6.294,5.727,3.250,2.314,3.543
mint (money),4,5.710,6.424,6.219,4.879,4.867,4.188,5.938,4.594,4.788
minute (small),6,3.667,4.677,3.818,4.086,4.618,4.794,4.686,1.364,3.257
minute (time),6,4.031,5.156,4.500,4.152,4.000,6.531,2.364,2.469,3.788
mole (animal),4,3.086,5.314,4.514,6.677,6.543,4.412,3.118,2.400,4.771
mole (skin),4,3.000,4.206,4.412,6.171,6.086,5.177,4.057,2.088,4.143
mole (spy),4,4.844,3.258,4.677,4.484,4.516,3.313,5.235,3.394,5.273
mug (cup),3,3.375,5.647,5.912,6.794,6.735,6.412,2.471,2.441,4.088
mug (face),3,3.600,4.647,5.229,5.771,5.800,4.735,4.500,3.457,4.914
mushroom (expand),8,3.500,4.800,5.267,4.167,4.774,3.333,5.419,4.800,4.161
mushroom (food),8,3.353,5.029,5.088,6.600,6.529,5.606,2.657,2.657,4.059
nail (finger),4,3.618,5.257,5.257,6.618,6.686,6.314,2.200,2.118,2.529
